Date,Open,High,Low,Close,Adj Close,Volume
2018-09-24,233.550003,239.199997,230.750000,233.300003,223.482330,3423509
2018-09-25,233.300003,236.750000,232.000000,236.100006,226.164505,2349368
2018-09-26,240.000000,240.000000,232.500000,234.250000,224.392334,2240909
2018-09-27,234.550003,236.800003,231.100006,233.250000,223.434418,5082859
2018-09-28,234.050003,235.949997,230.199997,233.750000,223.913376,3069914
2018-10-01,234.550003,234.600006,221.050003,230.899994,221.183304,1534749
2018-10-03,230.000000,237.500000,225.750000,227.600006,218.022186,1708590
2018-10-04,223.500000,227.800003,216.149994,218.199997,209.017746,1728786
2018-10-05,217.000000,218.600006,205.899994,209.199997,200.396484,3519515
2018-10-08,208.000000,222.250000,206.850006,215.149994,206.096100,4642146
2018-10-09,215.500000,219.149994,209.600006,216.500000,207.389297,1844462
2018-10-10,215.000000,229.649994,215.000000,228.399994,218.788528,2919278
2018-10-11,215.000000,229.699997,215.000000,224.600006,215.148422,1293881
2018-10-12,226.250000,232.350006,225.500000,229.100006,219.459061,1165527
2018-10-15,229.699997,237.000000,226.800003,234.899994,225.014984,1224339
2018-10-16,237.100006,237.699997,233.050003,235.449997,225.541824,1723113
2018-10-17,237.699997,240.800003,229.449997,231.100006,221.374908,2945914
2018-10-19,230.300003,232.699997,225.500000,227.199997,217.639023,1527904
2018-10-22,229.449997,231.600006,222.000000,223.250000,213.855240,3529711
2018-10-23,221.100006,222.199997,214.750000,218.300003,209.113525,1416279
2018-10-24,220.100006,221.250000,217.050003,219.800003,210.550430,2171956
2018-10-25,217.899994,224.699997,216.000000,222.100006,212.753647,3288126
2018-10-26,223.000000,223.000000,215.750000,217.600006,208.443008,1254856
2018-10-29,217.000000,221.449997,217.000000,220.000000,210.742020,966687
2018-10-30,220.899994,228.800003,219.399994,227.300003,217.734818,2230812
2018-10-31,218.199997,220.899994,205.000000,217.850006,208.682495,9609975
2018-11-01,218.000000,220.500000,216.399994,217.750000,208.586670,2117862
2018-11-02,220.000000,223.500000,216.899994,217.649994,208.490891,1701852
2018-11-05,217.500000,221.350006,217.050003,219.850006,210.598328,977010
2018-11-06,220.750000,221.750000,213.149994,213.800003,204.802933,1114288
2018-11-07,215.000000,216.550003,214.800003,215.199997,206.143982,180558
2018-11-09,215.000000,215.600006,208.550003,209.500000,200.683868,3291284
2018-11-12,211.000000,217.000000,210.199997,214.699997,205.665039,2554231
2018-11-13,214.000000,221.199997,211.800003,219.949997,210.694107,1773622
2018-11-14,220.550003,221.449997,216.500000,217.399994,208.251434,1316163
2018-11-15,217.949997,222.500000,216.699997,221.449997,212.130966,1146455
2018-11-16,221.500000,224.250000,218.550003,221.800003,212.466278,817962
2018-11-19,222.000000,225.500000,221.500000,224.149994,214.717361,904579
2018-11-20,223.000000,224.850006,215.000000,215.949997,206.862442,913551
2018-11-21,215.000000,220.449997,215.000000,219.000000,209.784103,1168853
2018-11-22,219.000000,219.699997,214.800003,215.899994,206.814560,967411
2018-11-26,217.449997,218.899994,213.000000,217.649994,208.490891,1452206
2018-11-27,218.949997,219.949997,214.000000,217.750000,208.586670,1863491
2018-11-28,217.399994,221.449997,215.199997,216.000000,206.910339,977424
